movie_id,rating,movie_title,total_ratings
1282,4.46644295302013,Schindler's List (1993),298
274,4.45679012345679,Casablanca (1942),243
1318,4.4452296819788,"Shawshank Redemption, The (1994)",283
1573,4.38576779026217,"Usual Suspects, The (1995)",267
1399,4.35849056603774,Star Wars (1977),583
1508,4.29223744292237,To Kill a Mockingbird (1962),219
1103,4.29166666666667,One Flew Over the Cuckoo's Nest (1975),264
1330,4.28974358974359,"Silence of the Lambs, The (1991)",390
613,4.28329297820823,"Godfather, The (1972)",413
1206,4.25238095238095,Raiders of the Lost Ark (1981),420
1501,4.24571428571429,Titanic (1997),350
457,4.20435967302452,"Empire Strikes Back, The (1980)",367
1179,4.17283950617284,"Princess Bride, The (1987)",324
51,4.16304347826087,Amadeus (1984),276
830,4.16161616161616,L.A. Confidential (1997),297
499,4.15551181102362,Fargo (1996),508
226,4.15151515151515,Braveheart (1995),297
185,4.13818181818182,Blade Runner (1982),275
763,4.12121212121212,It's a Wonderful Life (1946),231
628,4.10460251046025,"Graduate, The (1967)",239
1190,4.10041841004184,Psycho (1960),239
1645,4.07723577235772,"Wizard of Oz, The (1939)",246
997,4.06645569620253,Monty Python and the Holy Grail (1974),316
1191,4.06091370558376,Pulp Fiction (1994),394
1408,4.05809128630705,"Sting, The (1973)",241
88,4.04524886877828,Apocalypse Now (1979),221
571,4.04464285714286,"Fugitive, The (1993)",336
42,4.03436426116839,Alien (1979),291
1298,4.01119402985075,Sense and Sensibility (1995),268
1235,4.00788954635109,Return of the Jedi (1983),507
1461,4.00677966101695,Terminator 2: Judgment Day (1991),295
110,3.99543378995434,Babe (1995),219
8,3.96911196911197,2001: A Space Odyssey (1968),259
624,3.95132743362832,GoodFellas (1990),226
45,3.94718309859155,Aliens (1986),284
1462,3.93355481727575,"Terminator, The (1984)",301
89,3.93115942028985,Apollo 13 (1995),276
748,3.93051359516616,Indiana Jones and the Last Crusade (1989),331
573,3.92698412698413,"Full Monty, The (1997)",315
391,3.91633466135458,Dead Poets Society (1989),251
1616,3.91034482758621,When Harry Met Sally... (1989),290
318,3.90950226244344,"Clockwork Orange, A (1971)",221
390,3.89632107023411,Dead Man Walking (1995),299
1525,3.884,Trainspotting (1996),250
1387,3.88105726872247,Stand by Me (1986),227
1524,3.8783185840708,Toy Story (1995),452
1209,3.875,Raising Arizona (1987),256
415,3.8724279835391,Die Hard (1988),243
716,3.86343612334802,"Hunt for Red October, The (1990)",227
552,3.85358255451713,Forrest Gump (1994),321
1302,3.84745762711864,Seven (Se7en) (1995),236
294,3.83905013192612,Chasing Amy (1997),379
200,3.83665338645418,"Blues Brothers, The (1980)",251
114,3.83428571428571,Back to the Future (1985),350
447,3.83333333333333,E.T. the Extra-Terrestrial (1982),300
1398,3.8155737704918,Star Trek: The Wrath of Khan (1982),244
37,3.81278538812785,Aladdin (1992),219
334,3.80353634577603,Contact (1997),509
1544,3.7984693877551,Twelve Monkeys (1995),392
374,3.79296875,Dances with Wolves (1990),256
529,3.78542510121457,"Fish Called Wanda, A (1988)",247
868,3.78181818181818,"Lion King, The (1994)",220
1006,3.77815699658703,Mr. Holland's Opus (1995),293
774,3.775,Jaws (1975),280
1366,3.76576576576577,"Sound of Music, The (1965)",222
644,3.76428571428571,Groundhog Day (1993),280
965,3.74587458745875,Men in Black (1997),303
798,3.72030651340996,Jurassic Park (1993),261
781,3.7109375,Jerry Maguire (1996),384
856,3.69798657718121,Leaving Las Vegas (1995),298
1252,3.69312169312169,"Rock, The (1996)",378
1496,3.68534482758621,"Time to Kill, A (1996)",232
555,3.66135458167331,Four Weddings and a Funeral (1994),251
1395,3.66027397260274,Star Trek: First Contact (1996),365
461,3.65696465696466,"English Patient, The (1996)",481
1374,3.64782608695652,Speed (1994),230
1211,3.64419475655431,Ransom (1996),267
1634,3.6319018404908,Willy Wonka and the Chocolate Factory (1971),326
33,3.63109048723898,Air Force One (1997),431
346,3.61085972850679,Courage Under Fire (1996),221
580,3.59362549800797,"Game, The (1997)",251
667,3.5695067264574,Heat (1995),223
1147,3.55737704918033,Phenomenon (1996),244
1538,3.48529411764706,"Truth About Cats & Dogs, The (1996)",272
1517,3.48181818181818,Top Gun (1986),220
179,3.44368600682594,"Birdcage, The (1996)",293
1285,3.44142259414226,Scream (1996),478
745,3.43822843822844,Independence Day (ID4) (1996),429
333,3.42372881355932,Conspiracy Theory (1997),295
988,3.31395348837209,Mission: Impossible (1996),344
734,3.30434782608696,In & Out (1997),230
1548,3.21501706484642,Twister (1996),293
861,3.15670103092783,Liar Liar (1997),485
1275,3.12341772151899,"Saint, The (1997)",316
412,3.10833333333333,"Devil's Own, The (1997)",240
1021,3.08715596330275,Murder at 1600 (1997),218
236,3.03149606299213,Broken Arrow (1996),254
477,2.98069498069498,Evita (1996),259
379,2.93333333333333,Dante's Peak (1997),240
1589,2.80821917808219,Volcano (1997),219
